,Search Query,Document containing term(df),Total Documents(N)/ number of documents term appeared (df),Log10(N/df)
0,canada,161,500/161,0.49
1,university,101,500/101,0.69
2,halifax,65,500/65,0.89
3,canada education,0,500/0,NA
4,dalhousie university,22,500/22,1.36
